2026-06-03 07:55:24,552 | INFO | Job registrado: mode=sync_trades profile=aggressive_hybrid_v1_3_tp5_sl3 schedule=cada 1 minuto(s) con offset de 50s profile=aggressive_hybrid_v1_3_tp5_sl3 timezone=America/Bogota
2026-06-03 07:55:24,600 | INFO | Job registrado: mode=sync_trades profile=aggressive_hybrid_v1_3_tp5_sl3_directional_robust schedule=cada 1 minuto(s) con offset de 62s profile=aggressive_hybrid_v1_3_tp5_sl3_directional_robust timezone=America/Bogota
2026-06-03 07:55:24,649 | INFO | Job registrado: mode=monitor_runtime profile=aggressive_hybrid_v1_3_tp5_sl3 schedule=cada 30 segundo(s) con offset de 12s profile=aggressive_hybrid_v1_3_tp5_sl3 timezone=America/Bogota
2026-06-03 07:55:24,682 | INFO | Job registrado: mode=production profile=aggressive_hybrid_v1_3_tp5_sl3 schedule=cada 5 minuto(s) con offset de 20s profile=aggressive_hybrid_v1_3_tp5_sl3 timezone=America/Bogota
2026-06-03 07:55:24,703 | INFO | Job registrado: mode=production profile=aggressive_hybrid_v1_3_tp5_sl3_directional_robust schedule=cada 5 minuto(s) con offset de 45s profile=aggressive_hybrid_v1_3_tp5_sl3_directional_robust timezone=America/Bogota
2026-06-03 07:55:24,706 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 07:55:24,707 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 07:55:24,725 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 07:55:24,725 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 07:55:24,748 | INFO | Scheduler iniciado.
2026-06-03 07:55:44,619 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 07:56:09,570 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 07:56:14,566 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 07:56:26,569 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
