model,d,p,q,rmse,mae,hit_rate,dm_stat,dm_pvalue,sharpe,sortino,max_drawdown,profit_factor,win_rate,payoff_ratio
ARIMA,0,2,2,0.006527,0.004222,75.0,-1.535421,0.12468,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,5,2,0.006567,0.004274,75.0,-1.481218,0.138548,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,2,1,0.006567,0.004274,75.0,-1.481218,0.138549,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,1,5,2,0.006582,0.004221,66.666667,-1.460163,0.144245,6.955409,27.437999,-0.005167,4.429634,66.666667,2.214817
ARIMA,0,1,1,0.006588,0.004292,75.0,-1.491984,0.135703,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,1,0,0.006589,0.004294,75.0,-1.492951,0.13545,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,5,0,0.006591,0.004277,75.0,-1.549954,0.121153,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,5,1,0.006593,0.004278,75.0,-1.551528,0.120775,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,1,2,0.006594,0.00429,75.0,-1.512694,0.130357,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,0,2,0,0.006599,0.004298,75.0,-1.505109,0.132296,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,1,5,0,0.006667,0.00441,66.666667,-1.261004,0.207307,6.955409,27.437999,-0.005167,4.429634,66.666667,2.214817
ARIMA,1,5,1,0.006748,0.004297,58.333333,-1.463613,0.1433,6.580407,24.976692,-0.003357,4.039045,58.333333,2.885032
ARIMA,1,2,2,0.006794,0.004347,75.0,-1.591697,0.111453,9.456235,54.887629,-0.003357,9.094822,75.0,3.031607
ARIMA,1,1,2,0.006852,0.004414,66.666667,-1.434669,0.151381,6.955409,27.437999,-0.005167,4.429634,66.666667,2.214817
ARIMA,1,1,0,0.006879,0.00446,75.0,-1.179496,0.238201,6.590328,21.366879,-0.00903,4.048781,75.0,1.349594
ARIMA,1,2,1,0.006881,0.004509,66.666667,-1.285999,0.198443,6.867394,25.932827,-0.003357,4.333623,66.666667,2.166812
ARIMA,1,1,1,0.006978,0.004537,66.666667,-1.380943,0.167296,6.955409,27.437999,-0.005167,4.429634,66.666667,2.214817
ARIMA,1,2,0,0.0076,0.004819,66.666667,-0.252579,0.800593,5.259781,21.498178,-0.005167,2.971561,66.666667,1.485781
